validated_time_rate	validated_time_rate_1	highest_version_mean_validated	highest_version_mean_validated_1	time_consulting_help	time_consulting_help_1	mean_test_per_subject	mean_test_per_subject_1	mean_size_modification_per_test	mean_size_modification_per_test_1	mean_modification_per_subject	mean_modification_per_subject_1	mean_time_active	mean_time_active_1	experimentation_quality	experimentation_quality_1	validation_quality	validation_quality_1	score	score_1	SRL_Class_Low	SRL_Class_High	SRL_Class_predicted
Classe4	Classe2	Classe3	Classe3	Classe1	Classe1	Classe1	Classe1	Classe5	Classe5	Classe3	Classe3	Classe5	Classe5	Classe1	Classe1	Classe5	Classe4	High	High	0.669442	0.330558	Low
Classe3	Classe1	Classe3	Classe1	Classe4	Classe1	Classe2	Classe1	Classe5	Classe1	Classe4	Classe1	Classe3	Classe6	Classe3	Classe1	Classe5	Classe1	Low	Low	0.977629	0.0223712	Low
Classe3	Classe4	Classe4	Classe2	Classe5	Classe1	Classe4	Classe5	Classe2	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe5	Classe3	Classe3	Low	Low	0.835391	0.164609	Low
Classe3	Classe3	Classe4	Classe3	Classe1	Classe2	Classe4	Classe5	Classe4	Classe2	Classe4	Classe3	Classe4	Classe4	Classe3	Classe4	Classe4	Classe4	Low	High	0.270835	0.729165	High
Classe4	Classe3	Classe4	Classe3	Classe1	Classe4	Classe1	Classe2	Classe5	Classe5	Classe5	Classe4	Classe4	Classe3	Classe1	Classe1	Classe4	Classe4	Low	Low	0.220594	0.779406	High
Classe5	Classe3	Classe4	Classe3	Classe1	Classe1	Classe1	Classe2	Classe5	Classe5	Classe5	Classe4	Classe4	Classe4	Classe1	Classe1	Classe5	Classe4	High	High	0.636754	0.363246	Low
Classe5	Classe1	Classe3	Classe2	Classe1	Classe1	Classe3	Classe6	Classe2	Classe1	Classe4	Classe5	Classe4	Classe3	Classe3	Classe5	Classe4	Classe3	High	High	0.927213	0.0727868	Low
Classe2	Classe1	Classe2	Classe1	Classe2	Classe1	Classe2	Classe1	Classe3	Classe1	Classe3	Classe1	Classe5	Classe1	Classe3	Classe1	Classe4	Classe1	Low	Low	0.971665	0.0283349	Low
Classe1	Classe1	Classe1	Classe1	Classe5	Classe1	Classe5	Classe1	Classe1	Classe1	Classe2	Classe1	Classe5	Classe1	Classe3	Classe1	Classe1	Classe1	Low	Low	0.968524	0.0314764	Low
Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Low	Low	0.959918	0.0400819	Low
