validated_time_rate	validated_time_rate_1	highest_version_mean_validated	highest_version_mean_validated_1	time_consulting_help	time_consulting_help_1	mean_test_per_subject	mean_test_per_subject_1	mean_size_modification_per_test	mean_size_modification_per_test_1	mean_modification_per_subject	mean_modification_per_subject_1	mean_time_active	mean_time_active_1	experimentation_quality	experimentation_quality_1	validation_quality	validation_quality_1	score	score_1	SRL_Class_Low	SRL_Class_High	SRL_Class_predicted
Classe4	Classe2	Classe3	Classe3	Classe1	Classe1	Classe1	Classe1	Classe5	Classe5	Classe3	Classe3	Classe5	Classe5	Classe1	Classe1	Classe5	Classe4	High	High	0.501236	0.498764	Low
Classe3	Classe1	Classe3	Classe1	Classe4	Classe1	Classe2	Classe1	Classe5	Classe1	Classe4	Classe1	Classe3	Classe6	Classe3	Classe1	Classe5	Classe1	Low	Low	0.533649	0.466351	Low
Classe3	Classe4	Classe4	Classe2	Classe5	Classe1	Classe4	Classe5	Classe2	Classe2	Classe3	Classe4	Classe4	Classe3	Classe3	Classe5	Classe3	Classe3	Low	Low	0.805924	0.194076	Low
Classe3	Classe3	Classe4	Classe3	Classe1	Classe2	Classe4	Classe5	Classe4	Classe2	Classe4	Classe3	Classe4	Classe4	Classe3	Classe4	Classe4	Classe4	Low	High	0.5664	0.4336	Low
Classe4	Classe3	Classe4	Classe3	Classe1	Classe4	Classe1	Classe2	Classe5	Classe5	Classe5	Classe4	Classe4	Classe3	Classe1	Classe1	Classe4	Classe4	Low	Low	0.462905	0.537095	High
Classe5	Classe3	Classe4	Classe3	Classe1	Classe1	Classe1	Classe2	Classe5	Classe5	Classe5	Classe4	Classe4	Classe4	Classe1	Classe1	Classe5	Classe4	High	High	0.768659	0.231341	Low
Classe5	Classe1	Classe3	Classe2	Classe1	Classe1	Classe3	Classe6	Classe2	Classe1	Classe4	Classe5	Classe4	Classe3	Classe3	Classe5	Classe4	Classe3	High	High	0.148103	0.851897	High
Classe2	Classe1	Classe2	Classe1	Classe2	Classe1	Classe2	Classe1	Classe3	Classe1	Classe3	Classe1	Classe5	Classe1	Classe3	Classe1	Classe4	Classe1	Low	Low	0.488113	0.511887	High
Classe1	Classe1	Classe1	Classe1	Classe5	Classe1	Classe5	Classe1	Classe1	Classe1	Classe2	Classe1	Classe5	Classe1	Classe3	Classe1	Classe1	Classe1	Low	Low	0.950471	0.049529	Low
Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Low	Low	0.964559	0.0354415	Low
